Symbol,Name,Sector,industry
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,Technology,EDP Services
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
AIRTP,"Air T, Inc.",Transportation,Air Freight/Delivery Services
AIRTW,"Air T, Inc.",Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
ANTE,AirNet Technology Inc.,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals
SONG,Akazoo S.A.,Consumer Services,Broadcasting
SONGW,Akazoo S.A.,Consumer Services,Broadcasting
AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
KERN,Akerna Corp.,Technology,EDP Services
KERNW,Akerna Corp.,Technology,EDP Services
AKRO,"Akero Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
ALAC,Alberton Acquisition Corporation,Finance,Business Services
ALACR,Alberton Acquisition Corporation,Finance,Business Services
ALACU,Alberton Acquisition Corporation,Finance,Business Services
ALACW,Alberton Acquisition Corporation,Finance,Business Services
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALEC,"Alector, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALRS,Alerus Financial Corporation,Finance,Major Banks
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALIT,Alight Inc.,n/a,n/a
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,Technology,"Computer Software: Programming, Data Processing"
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALGR,Allegro Merger Corp.,Consumer Services,Restaurants
ALGRR,Allegro Merger Corp.,Consumer Services,Restaurants
ALGRU,Allegro Merger Corp.,Consumer Services,Restaurants
ALGRW,Allegro Merger Corp.,Consumer Services,Restaurants
ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
LNT,Alliant Energy Corporation,Public Utilities,Power Generation
AESE,"Allied Esports Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
ALLO,"Allogene Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd.,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",Health Care,Major Pharmaceuticals
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software
ATHE,Alterity Therapeutics Limited,Health Care,Major Pharmaceuticals
ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
ALTM,Altus Midstream Company,Public Utilities,Natural Gas Distribution
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,Consumer Non-Durables,Textiles
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",Technology,Semiconductors
AMCX,AMC Networks Inc.,Consumer Services,Television Services
AMCI,AMCI Acquisition Corp.,Finance,Business Services
AMCIU,AMCI Acquisition Corp.,Finance,Business Services
AMCIW,AMCI Acquisition Corp.,Finance,Business Services
DOX,Amdocs Limited,Technology,EDP Services
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
AMTB,Amerant Bancorp Inc.,Finance,Major Banks
AMTBB,Amerant Bancorp Inc.,Finance,Major Banks
UHAL,Amerco,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
AFIN,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
ANAT,American National Insurance Company,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
AREC,American Resources Corporation,Consumer Services,Other Consumer Services
AMRB,American River Bankshares,Finance,Major Banks
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks
ATLO,Ames National Corporation,Finance,Major Banks
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,n/a,n/a
AMHC,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
AMHCU,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
AMHCW,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ANAB,"AnaptysBio, Inc.",Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCN,Anchiano Therapeutics Ltd.,Health Care,Major Pharmaceuticals
ANDA,Andina Acquisition Corp. III,Finance,Business Services
ANDAR,Andina Acquisition Corp. III,Finance,Business Services
ANDAU,Andina Acquisition Corp. III,Finance,Business Services
ANDAW,Andina Acquisition Corp. III,Finance,Business Services
ANGI,ANGI Homeservices Inc.,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
ANIX,"Anixa Biosciences, Inc.",Health Care,Medical Specialities
ANPC,"AnPac Bio-Medical Science Co., Ltd.",Health Care,Medical Specialities
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments
ATEX,Anterix Inc.,Public Utilities,Telecommunications Equipment
APLS,"Apellis Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APEX,Apex Global Brands Inc.,Consumer Non-Durables,Apparel
APXT,Apex Technology Acquisition Corporation,Finance,Business Services
APXTU,Apex Technology Acquisition Corporation,Finance,Business Services
APXTW,Apex Technology Acquisition Corporation,Finance,Business Services
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,n/a,n/a
AMEH,"Apollo Medical Holdings, Inc.",Consumer Services,Professional Services
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,Technology,Computer Manufacturing
APDN,"Applied DNA Sciences, Inc.",Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
APLT,"Applied Therapeutics, Inc.",Health Care,Major Pharmaceuticals
APRE,"Aprea Therapeutics, Inc.",Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals
APTX,Aptinyx Inc.,Health Care,Major Pharmaceuticals
APM,Aptorum Group Limited,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APYX,Apyx Medical Corporation,Health Care,Medical/Dental Instruments
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",n/a,n/a
AQST,"Aquestive Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ARAV,"Aravive, Inc.",Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
FUV,"Arcimoto, Inc.",Consumer Non-Durables,Motor Vehicles
ARCE,Arco Platform Limited,Consumer Services,Other Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc.,Health Care,Major Pharmaceuticals
ARQT,"Arcutis Biotherapeutics, Inc.",Health Care,Major Pharmaceuticals
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,n/a,n/a
ARGX,argenx SE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARDS,Aridis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants
DWCR,Arrow DWA Country Rotation ETF,n/a,n/a
DWAT,Arrow DWA Tactical ETF,n/a,n/a
AROW,Arrow Financial Corporation,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
TARA,"ArTara Therapeutics, Inc. ",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTL,"Artelo Biosciences, Inc.",Miscellaneous,Business Services
ARTLW,"Artelo Biosciences, Inc.",Miscellaneous,Business Services
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components
ARVN,"Arvinas, Inc.",Health Care,Major Pharmaceuticals
ARYA,ARYA Sciences Acquisition Corp.,Finance,Business Services
ARYAU,ARYA Sciences Acquisition Corp.,Finance,Business Services
ARYAW,ARYA Sciences Acquisition Corp.,Finance,Business Services
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment
ASLN,ASLAN Pharmaceuticals Limited,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals
ASRT,"Assertio Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",Finance,Finance Companies
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ASUR,Asure Software Inc,Technology,EDP Services
AACG,ATA Creativity Global,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATNX,"Athenex, Inc.",Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals
ATIF,ATIF Holdings Limited,Consumer Services,Professional Services
AAME,Atlantic American Corporation,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks
AUB,Atlantic Union Bankshares Corporation,Finance,Major Banks
AY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
ATCX,"Atlas Technical Consultants, Inc.",Consumer Services,Professional Services
ATCXW,"Atlas Technical Consultants, Inc.",Consumer Services,Professional Services
TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software
ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment
ATOM,Atomera Incorporated,Technology,Semiconductors
ATOS,"Atossa Therapeutics, Inc.",Health Care,Major Pharmaceuticals
BCEL,"Atreca, Inc.",Health Care,Major Pharmaceuticals
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,Health Care,Medical/Dental Instruments
LIFE,"aTyr Pharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment
AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding Ltd.,Health Care,Major Pharmaceuticals
JG,Aurora Mobile Limited,Technology,"Computer Software: Programming, Data Processing"
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
AUTL,Autolus Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
AUTO,"AutoWeb, Inc.",Technology,"Computer Software: Programming, Data Processing"
AVDL,Avadel Pharmaceuticals plc,Health Care,Major Pharmaceuticals
AHI,"Avadim Health, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
AVCO,Avalon GloboCare Corp.,Consumer Services,Professional Services
ATXI,"Avenue Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
CDMO,"Avid Bioservices, Inc.",Health Care,Major Pharmaceuticals
CDMOP,"Avid Bioservices, Inc.",Health Care,Major Pharmaceuticals
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software
AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies
RCEL,Avita Medical Limited,Capital Goods,Miscellaneous
AVT,"Avnet, Inc.",Technology,Electronic Components
AVRO,"AVROBIO, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
AXLA,Axcella Health Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AAXN,"Axon Enterprise, Inc.",Capital Goods,Ordnance And Accessories
AXNX,"Axonics Modulation Technologies, Inc.",Health Care,Medical/Dental Instruments
AXGT,Axovant Gene Therapies Ltd.,Health Care,Major Pharmaceuticals
AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AXTI,AXT Inc,Technology,Semiconductors
AYTU,"Aytu BioScience, Inc.",Health Care,Major Pharmaceuticals
AZRX,"AzurRx BioPharma, Inc.",Health Care,Major Pharmaceuticals
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment
RILY,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYG,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYH,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYI,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYM,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYN,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYO,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYP,"B. Riley Financial, Inc.",Miscellaneous,Business Services
RILYZ,"B. Riley Financial, Inc.",Miscellaneous,Business Services
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
BCPC,Balchem Corporation,Basic Industries,Major Chemicals
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components
BANF,BancFirst Corporation,Finance,Major Banks
BANFP,BancFirst Corporation,Finance,Major Banks
BCTF,"Bancorp 34, Inc.",Finance,Savings Institutions
BAND,Bandwidth Inc.,Technology,Computer Software: Prepackaged Software
BFC,Bank First Corporation,Finance,Major Banks
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks
BMRC,Bank of Marin Bancorp,Finance,Major Banks
BMLP,Bank Of Montreal,Finance,Commercial Banks
BKSC,Bank of South Carolina Corp.,Finance,Major Banks
BOTJ,"Bank of the James Financial Group, Inc.",Finance,Major Banks
OZK,Bank OZK,Finance,Major Banks
BSVN,Bank7 Corp.,Finance,Major Banks
BFIN,BankFinancial Corporation,Finance,Savings Institutions
BWFG,"Bankwell Financial Group, Inc.",Finance,Major Banks
BANR,Banner Corporation,Finance,Major Banks
BZUN,Baozun Inc.,Consumer Services,Catalog/Specialty Distribution
DFVL,Barclays PLC,n/a,n/a
DFVS,Barclays PLC,n/a,n/a
DLBS,Barclays PLC,n/a,n/a
DTUL,Barclays PLC,n/a,n/a
DTUS,Barclays PLC,n/a,n/a
